gene	cluster	silhouette	mean_log2_expression	log2_range	correlation_to_centroid	z_S1	z_S2	z_S3	z_S4	z_S5	z_S6	z_S7	z_S8	z_S9	log2_S1	log2_S2	log2_S3	log2_S4	log2_S5	log2_S6	log2_S7	log2_S8	log2_S9
G816	3	0.5653	10.0208	0.6409	0.9723	1.5816	1.1955	1.2852	-1.0178	-1.0040	-0.0319	-0.7244	-0.7501	-0.5341	10.4108	10.3156	10.3377	9.7699	9.7733	10.0130	9.8423	9.8359	9.8892
G817	2	0.0048	9.4711	0.5874	0.4476	0.7008	1.1685	-0.6758	-0.1474	-2.4759	0.4152	0.2779	0.2847	0.4520	9.5840	9.6594	9.3621	9.4473	9.0720	9.5380	9.5158	9.5169	9.5439
G818	0	0.4891	11.8315	0.2892	0.8678	-1.2039	-1.0254	-1.1965	0.6815	-0.3914	0.2809	0.2246	0.6590	1.9714	11.7219	11.7382	11.7226	11.8936	11.7959	11.8571	11.8520	11.8916	12.0111
G819	3	0.5075	13.4720	1.4619	0.9144	1.4984	1.3407	1.1314	-0.8857	-0.2642	-0.6096	-0.4204	-1.4747	-0.3158	14.2088	14.1312	14.0283	13.0365	13.3421	13.1722	13.2653	12.7469	13.3167
G820	3	0.5715	9.0983	1.5851	0.9509	1.4287	1.4796	1.2217	-0.5197	-0.1718	-0.9129	-0.7462	-0.9348	-0.8447	10.0362	10.0696	9.9004	8.7570	8.9855	8.4989	8.6084	8.4845	8.5437
G821	3	0.4234	7.6236	0.7142	0.8588	1.8115	0.4338	1.1889	-0.9147	-1.4949	0.4707	-0.3972	-0.7264	-0.3717	8.0149	7.7173	7.8804	7.4261	7.3008	7.7253	7.5379	7.4667	7.5434
G822	3	0.2540	9.3094	0.5183	0.6226	0.2033	0.7975	1.9527	0.5556	-1.1521	-0.2526	-1.3373	-0.9865	0.2195	9.3415	9.4351	9.6171	9.3970	9.1279	9.2696	9.0987	9.1540	9.3440
G823	0	0.3562	9.2411	0.2665	0.7462	-1.3465	-1.3650	-0.1649	-0.6106	0.5769	-0.0446	0.5551	0.3626	2.0370	9.1356	9.1342	9.2282	9.1933	9.2863	9.2376	9.2846	9.2695	9.4007
G824	0	0.3444	8.7009	0.4428	0.7629	-1.2653	-0.1542	-1.8605	1.4388	0.9954	0.4962	0.6713	-0.3890	0.0674	8.5311	8.6802	8.4512	8.8940	8.8345	8.7675	8.7910	8.6487	8.7099
G825	3	0.1743	10.4648	0.3390	0.4336	0.1465	-0.1931	1.8972	0.9238	-1.1343	-0.7858	-0.5039	0.8899	-1.2403	10.4806	10.4439	10.6698	10.5646	10.3423	10.3799	10.4104	10.5610	10.3308
G826	2	0.1522	11.7810	0.2535	0.7982	1.3071	-0.7570	0.2163	-1.8851	-1.0048	0.2072	0.1892	1.3824	0.3447	11.8824	11.7223	11.7978	11.6348	11.7031	11.7971	11.7957	11.8883	11.8078
G827	0	0.3794	10.8198	0.8527	0.8217	-1.2831	-1.4353	-0.9438	1.5126	0.8364	1.0527	0.4712	-0.2823	0.0715	10.4487	10.4047	10.5469	11.2574	11.0618	11.1243	10.9561	10.7382	10.8405
G828	1	0.1737	9.7683	0.2777	0.8184	-0.2396	-0.7620	0.1977	1.3080	0.5801	1.3373	-1.9751	0.2700	-0.7164	9.7482	9.7044	9.7849	9.8779	9.8169	9.8804	9.6027	9.7909	9.7082
G829	2	0.0002	8.7798	0.2384	0.5372	-0.3163	2.0127	-0.2979	-1.8959	0.1302	0.4676	0.1281	0.5518	-0.7804	8.7605	8.9026	8.7616	8.6642	8.7878	8.8083	8.7876	8.8135	8.7322
G830	1	0.0176	4.5807	6.6534	0.1676	-0.8758	0.3532	0.9336	-1.3305	2.1004	0.2692	-0.8939	-0.1581	-0.3980	2.8823	5.2656	6.3912	2.0005	8.6539	5.1028	2.8471	4.2741	3.8088
G831	3	0.4841	11.7632	1.1561	0.9375	1.5549	1.0587	1.1757	-1.6195	-0.7471	-0.2133	-0.1933	-0.1215	-0.8945	12.3295	12.1488	12.1914	11.1734	11.4911	11.6855	11.6928	11.7190	11.4374
G832	1	-0.1003	7.6822	0.6337	0.0042	-2.0990	-0.1819	1.4719	-0.7531	0.0164	0.9708	-0.3308	0.0257	0.8801	7.3097	7.6499	7.9434	7.5485	7.6851	7.8544	7.6235	7.6867	7.8383
G833	0	0.5428	15.3258	0.7755	0.9295	-1.6881	-1.2808	-1.0387	0.0107	0.8192	0.8500	1.1174	0.7725	0.4379	14.8592	14.9718	15.0387	15.3288	15.5523	15.5608	15.6347	15.5394	15.4469
G834	0	0.5175	12.5653	0.8121	0.9315	-1.5116	-1.3085	-1.1196	0.8724	1.4460	0.0621	0.4446	0.3634	0.7510	12.1502	12.2060	12.2579	12.8049	12.9624	12.5824	12.6874	12.6651	12.7715
G835	1	0.1459	7.4719	1.9071	0.5820	1.6144	-0.9565	-1.0935	1.0772	0.7677	0.5404	-1.4505	-0.1693	-0.3298	8.4765	6.8767	6.7915	8.1422	7.9496	7.8082	6.5693	7.3665	7.2667
G836	3	0.5336	11.8213	1.1265	0.9657	1.5827	1.3593	1.0616	-1.2598	-0.8445	-0.6041	-0.1664	-0.2559	-0.8730	12.4485	12.3599	12.2420	11.3220	11.4866	11.5819	11.7553	11.7199	11.4753
G837	2	0.0697	12.2816	0.7327	0.9150	0.8228	1.0551	0.1939	-2.5989	-0.2359	-0.1894	0.3925	0.1924	0.3676	12.4466	12.4932	12.3205	11.7604	12.2343	12.2436	12.3603	12.3202	12.3553
G838	3	0.4678	12.6895	0.6602	0.9326	1.4791	1.2777	1.0926	-1.5852	-0.7741	-0.5776	-0.1529	-0.0415	-0.7180	13.0082	12.9648	12.9249	12.3480	12.5228	12.5651	12.6566	12.6806	12.5348
G839	3	0.5123	10.8359	0.6049	0.9258	2.1687	1.0950	0.6212	-0.5463	-0.9017	-0.5463	-0.7675	-0.7644	-0.3588	11.2631	11.0516	10.9583	10.7283	10.6582	10.7283	10.6847	10.6853	10.7652
G840	0	0.4197	11.2190	0.5936	0.8205	-1.5830	-0.5369	-0.9917	-0.0410	0.4609	-0.6691	1.0317	0.5386	1.7906	10.9404	11.1245	11.0445	11.2118	11.3001	11.1012	11.4005	11.3137	11.5340
G841	3	0.5532	13.8211	1.1356	0.9739	1.4526	1.1218	1.4834	-1.1635	-0.8748	-0.6300	-0.2783	-0.2237	-0.8875	14.4443	14.3024	14.4575	13.3219	13.4457	13.5508	13.7017	13.7251	13.4403
G842	0	0.4174	9.6211	0.4284	0.7862	-0.2702	-1.4623	-1.7951	-0.0337	0.2560	1.5323	0.3374	0.6580	0.7776	9.5864	9.4329	9.3900	9.6168	9.6541	9.8184	9.6646	9.7059	9.7213
G843	3	0.2637	10.2283	0.2416	0.6325	0.2840	0.7332	2.0197	0.8890	-0.6116	-1.1686	-0.9703	-0.8528	-0.3225	10.2498	10.2838	10.3813	10.2956	10.1819	10.1397	10.1547	10.1636	10.2038
G844	3	0.3281	10.0647	0.6607	0.7950	1.5590	0.6552	1.0588	-0.6960	-2.0709	-0.1969	0.1945	-0.3977	-0.1060	10.3485	10.1840	10.2575	9.9381	9.6878	10.0289	10.1001	9.9924	10.0455
G845	1	-0.1088	11.7702	0.6903	0.7249	-1.5192	-0.6058	-0.4525	1.3671	1.2706	1.3835	-0.5254	-0.5712	-0.3471	11.4089	11.6261	11.6626	12.0953	12.0724	12.0992	11.6452	11.6343	11.6876
G846	0	0.5984	15.4569	2.0360	0.9866	-1.4128	-1.4389	-1.2495	0.6002	0.4244	0.3352	0.6552	0.8044	1.2818	14.3996	14.3801	14.5218	15.9060	15.7745	15.7077	15.9472	16.0589	16.4161
G847	0	0.5648	13.9209	0.8880	0.9649	-1.5524	-1.4251	-1.0284	0.6880	0.9216	0.1507	0.9394	0.1943	1.1118	13.4035	13.4459	13.5781	14.1502	14.2281	13.9711	14.2340	13.9857	14.2915
G848	0	0.5824	10.8936	1.3923	0.9832	-1.5795	-1.1388	-1.4089	0.5180	0.6294	0.9152	0.4721	0.4571	1.1355	10.0835	10.3095	10.1710	11.1592	11.2164	11.3629	11.1357	11.1280	11.4759
G849	2	-0.1066	11.1175	1.2192	0.5056	1.5209	0.3973	-0.0633	-0.1681	-2.2410	-0.1203	0.7492	0.6320	-0.7068	11.6104	11.2462	11.0969	11.0630	10.3912	11.0785	11.3603	11.3223	10.8884
G850	0	0.4818	13.3040	0.6441	0.8611	-1.0330	-1.5585	-1.2413	0.6892	-0.1774	0.9505	1.1705	1.0811	0.1189	13.0602	12.9362	13.0111	13.4667	13.2622	13.5284	13.5803	13.5592	13.3321
G851	0	0.5909	12.8066	1.8028	0.9888	-1.6231	-1.2711	-1.3011	0.7284	0.8915	0.5241	0.8029	0.4953	0.7530	11.6429	11.8953	11.8738	13.3288	13.4457	13.1823	13.3822	13.1617	13.3465
G852	3	0.3874	9.0867	0.8952	0.8785	1.4139	0.9227	1.3097	-1.4642	-0.7431	-1.0820	0.0736	0.2689	-0.6997	9.5265	9.3737	9.4941	8.6313	8.8556	8.7501	9.1096	9.1703	8.8691
G853	0	0.5867	11.7440	2.0562	0.9836	-1.6684	-1.1870	-1.1888	0.5328	0.5581	0.5217	0.3916	0.6374	1.4025	10.6270	10.9493	10.9481	12.1008	12.1178	12.0934	12.0063	12.1708	12.6831
G854	0	0.4399	4.7821	3.9562	0.8137	-0.7308	-1.0098	-1.6414	-0.1401	1.6172	-0.0196	0.0576	0.5028	1.3641	3.8948	3.5561	2.7893	4.6120	6.7456	4.7583	4.8520	5.3926	6.4382
G855	0	0.2448	5.9033	2.0456	0.5364	-1.6426	-0.2090	0.0274	1.4790	-0.1112	-1.3045	0.0002	0.2455	1.5152	4.8393	5.7680	5.9211	6.8614	5.8313	5.0583	5.9035	6.0624	6.8849
G856	3	0.5924	8.8066	2.6426	0.9656	1.3416	1.4614	1.3449	-0.5165	-0.2740	-0.7737	-0.6941	-0.7896	-1.1000	10.1908	10.3144	10.1942	8.2738	8.5239	8.0084	8.0905	7.9920	7.6717
G857	2	0.0052	9.6201	0.7173	0.2691	0.1609	1.0896	-0.1426	-0.3834	-1.1263	0.0115	-0.1044	-1.5159	2.0105	9.6528	9.8417	9.5911	9.5421	9.3910	9.6225	9.5989	9.3118	10.0291
G858	3	0.4425	8.8157	0.6778	0.8484	1.8646	1.1638	0.5579	-0.7770	-0.7074	0.1450	-1.1732	-1.1612	0.0874	9.2317	9.0754	8.9402	8.6423	8.6579	8.8481	8.5539	8.5566	8.8352
G859	1	-0.1243	12.1890	0.2867	0.5266	-0.5141	-0.9085	-1.1185	1.3894	-0.1355	1.9091	-0.6607	0.5800	-0.5413	12.1403	12.1029	12.0831	12.3206	12.1761	12.3698	12.1264	12.2439	12.1377
G860	3	0.5689	11.7255	1.0775	0.9774	1.6455	1.2988	1.0507	-1.1907	-0.6437	-0.3052	-0.4306	-0.2790	-1.1459	12.3507	12.2190	12.1247	11.2732	11.4810	11.6096	11.5620	11.6196	11.2902
G861	3	0.2374	11.0292	0.3845	0.7327	1.8300	0.3504	0.6072	-1.5055	-0.3908	-0.5255	1.0378	-0.2534	-1.1503	11.2402	11.0696	11.0992	10.8557	10.9842	10.9687	11.1489	11.0000	10.8966
G862	0	0.3590	8.2945	0.5392	0.7861	-1.6637	-1.0713	-0.6850	1.3201	0.9729	0.7785	0.9614	-0.6286	0.0156	7.9939	8.1009	8.1707	8.5330	8.4703	8.4351	8.4682	8.1809	8.2973
G863	0	0.5668	9.3932	0.9463	0.9647	-1.9150	-0.9573	-1.1441	0.7995	0.1384	0.6500	0.9872	0.6389	0.8024	8.7688	9.0811	9.0202	9.6539	9.4383	9.6052	9.7151	9.6015	9.6549
G864	0	0.3676	17.9114	2.1879	0.7920	-1.7100	-0.9306	-0.6986	1.1116	1.8162	-0.1008	0.0505	0.0460	0.4157	16.8504	17.3341	17.4779	18.6011	19.0383	17.8489	17.9427	17.9400	18.1694
G865	0	0.4948	19.3181	3.3463	0.9181	-1.7244	-1.2263	-0.9403	1.2030	1.2674	0.1686	0.3224	0.3640	0.5656	17.3894	17.9465	18.2664	20.6636	20.7356	19.5066	19.6786	19.7251	19.9507
G866	3	0.5787	6.3077	2.8869	0.9758	1.5645	1.0126	1.4120	-1.1141	-0.5516	-0.0914	-0.8074	-0.3170	-1.1076	7.9939	7.3991	7.8295	5.1070	5.7132	6.2091	5.4375	5.9660	5.1140
G867	3	0.4767	11.1460	1.5129	0.9193	1.2230	1.5985	1.0450	-1.6536	-0.2750	-0.2132	-0.4997	-0.6391	-0.5858	11.7150	11.8896	11.6321	10.3767	11.0181	11.0468	10.9135	10.8487	10.8735
G868	3	0.5617	13.1126	1.3497	0.9389	1.2379	1.0487	1.7619	-0.2777	-0.3485	-0.5844	-0.7878	-1.0484	-1.0018	13.7072	13.6163	13.9588	12.9793	12.9453	12.8320	12.7343	12.6091	12.6315
G869	3	0.3541	12.0129	1.1170	0.8642	1.4508	1.1017	0.9140	-1.9603	-0.7722	-0.1454	0.0401	-0.0091	-0.6198	12.4880	12.3737	12.3122	11.3710	11.7600	11.9653	12.0260	12.0099	11.8099
G870	0	0.5091	10.6168	0.5749	0.8932	-0.8740	-1.6613	-1.2973	0.6064	0.4273	-0.1792	0.9340	1.3751	0.6690	10.4513	10.3022	10.3712	10.7316	10.6977	10.5828	10.7936	10.8771	10.7434
G871	3	0.4524	12.7202	0.9772	0.9176	1.3366	1.2998	1.1771	-1.7781	-0.3542	-0.5292	-0.1931	-0.2868	-0.6721	13.1395	13.1279	13.0895	12.1623	12.6090	12.5541	12.6596	12.6302	12.5093
G872	3	0.5617	13.8218	1.5668	0.9726	1.5365	1.3325	1.1965	-1.3434	-0.3002	-0.4500	-0.5871	-0.5677	-0.8171	14.6577	14.5467	14.4727	13.0909	13.6585	13.5770	13.5024	13.5130	13.3772
G873	1	-0.1164	9.8215	1.4933	0.3694	-0.8455	0.1871	-0.8461	1.7273	-0.4452	-0.0084	-0.8895	-0.6510	1.7713	9.3470	9.9265	9.3467	10.7909	9.5716	9.8168	9.3223	9.4562	10.8156
G874	0	0.2865	8.9810	0.4340	0.6981	-1.0353	-0.0726	-1.7541	-0.5496	-0.3985	0.4660	0.8610	1.6562	0.8269	8.8492	8.9718	8.7578	8.9111	8.9303	9.0403	9.0906	9.1918	9.0862
G875	0	0.5308	6.6766	2.9058	0.9352	-1.3156	-1.0766	-1.4489	0.1722	0.3212	-0.0565	1.1829	1.0450	1.1762	5.2241	5.4879	5.0770	6.8668	7.0313	6.6142	7.9827	7.8304	7.9753
G876	0	0.3186	11.5187	1.3763	0.7316	-1.5176	-0.5005	-1.0958	1.1786	1.5945	0.1859	0.8213	-0.7707	0.1044	10.8476	11.2973	11.0341	12.0399	12.2238	11.6009	11.8819	11.1779	11.5648
G877	3	0.3444	6.1374	2.4196	0.8144	2.0710	0.6736	0.5737	-1.6868	0.2034	-0.5442	-0.2503	-0.7862	-0.2543	7.4709	6.5711	6.5068	5.0513	6.2684	5.7870	5.9763	5.6312	5.9737
G878	1	0.1359	11.2231	0.2744	0.7204	0.6758	-0.9884	0.6370	1.4479	0.2602	0.6689	-1.1591	0.2329	-1.7752	11.2806	11.1389	11.2773	11.3464	11.2452	11.2800	11.1244	11.2429	11.0719
G879	3	0.5717	12.4329	0.4508	0.9657	1.7585	1.4057	0.9236	-0.3942	-1.1096	-0.5330	-0.6241	-0.6981	-0.7288	12.7093	12.6539	12.5781	12.3710	12.2585	12.3491	12.3348	12.3232	12.3184
G880	3	0.5921	12.8552	1.3070	0.9665	1.2176	1.1166	1.7770	-0.6822	-0.4163	-0.3924	-0.7687	-0.8409	-1.0109	13.4261	13.3787	13.6883	12.5355	12.6601	12.6713	12.4949	12.4610	12.3813
G881	3	0.5010	13.6304	1.0867	0.9437	1.5018	1.1535	1.1581	-1.5651	-0.7524	-0.0765	-0.3035	-0.1478	-0.9681	14.1625	14.0391	14.0407	13.0759	13.3639	13.6033	13.5229	13.5780	13.2874
G882	0	0.4359	12.5991	1.3079	0.8503	-1.1671	-1.3799	-1.0515	-0.7804	0.6056	0.8376	0.7557	1.0479	1.1321	11.9914	11.8807	12.0517	12.1928	12.9144	13.0352	12.9926	13.1448	13.1886
G883	3	0.3315	10.4891	0.7162	0.8232	1.3631	0.8632	0.9722	-1.8099	-0.4497	-0.1999	0.0233	0.5251	-1.2873	10.7968	10.6839	10.7085	10.0805	10.3876	10.4440	10.4943	10.6076	10.1985
G884	0	0.1401	8.1559	1.4298	0.3891	-1.3792	0.5527	-0.1899	0.2239	-0.4050	-1.2268	0.3587	-0.1452	2.2108	7.6066	8.3760	8.0803	8.2451	7.9946	7.6673	8.2988	8.0981	9.0364
G885	2	0.1001	7.1629	0.9681	0.5643	1.6695	0.1138	-0.9476	-0.8973	-0.6862	-0.6806	0.3373	-0.6490	1.7400	7.7642	7.2039	6.8216	6.8397	6.9157	6.9177	7.2844	6.9291	7.7896
G886	2	0.1408	5.8728	1.3134	0.5743	0.7211	-0.4957	0.2652	-1.7028	0.1747	-0.2920	0.8838	-1.2380	1.6837	6.1525	5.6805	5.9756	5.2124	5.9405	5.7595	6.2156	5.3926	6.5258
G887	3	0.1938	9.6525	0.1981	0.5422	1.5792	1.1725	-0.4829	1.2199	-0.1938	-0.7335	-0.6828	-0.3900	-1.4886	9.7545	9.7282	9.6214	9.7313	9.6400	9.6052	9.6084	9.6273	9.5564
G888	0	0.5863	14.6985	2.0844	0.9870	-1.5062	-1.3875	-1.3248	0.7805	0.6970	0.8236	0.6248	0.4851	0.8075	13.3509	13.4572	13.5132	15.3967	15.3221	15.4353	15.2574	15.1324	15.4209
G889	1	0.0330	6.7597	1.1345	0.1439	-0.1432	-1.0990	0.9758	0.0734	0.0025	0.7036	-0.5803	1.7628	-1.6956	6.7127	6.3992	7.0798	6.7838	6.7605	6.9905	6.5693	7.3380	6.2035
G890	2	-0.1079	11.4330	0.6273	0.6879	0.6896	1.0008	1.0748	-1.0212	-1.4712	-1.4010	-0.0168	0.0521	1.0930	11.6017	11.6778	11.6959	11.1832	11.0731	11.0902	11.4289	11.4457	11.7004
G891	0	0.5848	10.9981	2.3338	0.9771	-1.8164	-1.3148	-0.9766	0.5832	0.6599	0.3776	0.9885	0.7463	0.7523	9.4868	9.9042	10.1856	11.4834	11.5472	11.3123	11.8206	11.6191	11.6241
G892	2	0.1651	8.0566	0.3397	0.7096	0.4882	-0.1549	-1.0456	-1.0046	-1.0435	-0.5420	1.4764	1.7513	0.0747	8.1159	8.0378	7.9296	7.9346	7.9299	7.9908	8.2359	8.2693	8.0657
G893	2	0.0062	8.7751	0.4487	0.2049	0.2011	1.8107	-1.0865	-0.2153	-0.7211	-0.2573	-1.1507	-0.1669	1.5861	8.8056	9.0494	8.6105	8.7425	8.6658	8.7361	8.6007	8.7498	9.0154
G894	2	-0.1126	11.8719	0.3446	0.8110	1.6042	1.0105	-0.0907	-2.0974	-0.5981	-0.0543	-0.2699	0.7178	-0.2220	12.0212	11.9660	11.8634	11.6766	11.8162	11.8668	11.8467	11.9387	11.8512
G895	3	0.5842	12.2981	0.7101	0.9900	1.7103	1.1191	1.2698	-1.1054	-0.8022	-0.4971	-0.4732	-0.3579	-0.8635	12.7294	12.5803	12.6183	12.0193	12.0958	12.1727	12.1788	12.2078	12.0803
G896	3	0.5873	10.0749	1.3284	0.9864	1.3600	1.3977	1.3942	-1.1299	-0.7478	-0.3249	-0.6880	-0.4841	-0.7772	10.7897	10.8095	10.8077	9.4811	9.6819	9.9041	9.7133	9.8205	9.6665
G897	2	0.0559	11.1584	0.8290	0.8065	1.1213	0.8345	-0.0457	-1.9442	0.3701	-1.4899	0.9318	0.0246	0.1976	11.4616	11.3841	11.1460	10.6326	11.2585	10.7555	11.4104	11.1651	11.2118
G898	2	-0.1006	12.1466	0.3036	0.4838	1.1363	-0.4729	1.5170	-0.4342	-1.3331	-1.4611	-0.1100	0.1314	1.0266	12.2624	12.0984	12.3012	12.1023	12.0107	11.9977	12.1354	12.1600	12.2512
G899	3	0.4558	10.6185	0.6004	0.8687	1.7762	0.0065	1.6579	-0.7116	-0.5160	-0.5069	-0.3204	0.0157	-1.4014	10.9541	10.6198	10.9318	10.4841	10.5210	10.5228	10.5580	10.6215	10.3537
G900	3	0.5733	11.5003	0.6408	0.9764	1.6672	1.1063	1.2383	-1.1531	-0.4718	-0.3362	-0.8394	-0.1813	-1.0299	11.8791	11.7516	11.7816	11.2382	11.3931	11.4239	11.3095	11.4591	11.2662
G901	3	0.5103	7.3048	2.1118	0.9152	2.0995	0.9017	0.8897	-0.4227	-0.8210	-0.7194	-1.0859	-0.6254	-0.2165	8.6967	7.9026	7.8947	7.0246	6.7605	6.8279	6.5849	6.8902	7.1613
G902	3	0.5518	10.3546	0.4513	0.9363	1.3399	1.0026	1.6746	-0.3164	-1.1807	-0.2487	-0.9794	-0.7966	-0.4952	10.5664	10.5131	10.6193	10.3046	10.1680	10.3153	10.1998	10.2287	10.2763
G903	0	0.4493	13.3412	1.2804	0.8568	-1.0767	-1.1782	-1.1220	0.0376	-0.0836	-0.1816	0.7065	0.9725	1.9254	12.8970	12.8551	12.8783	13.3567	13.3067	13.2662	13.6326	13.7423	14.1355
G904	0	0.1162	6.4591	0.6353	0.3384	-0.5956	1.1275	-2.0660	-0.2207	-0.4568	1.1717	0.5618	0.9621	-0.4841	6.3422	6.6803	6.0537	6.4158	6.3695	6.6890	6.5693	6.6479	6.3641
G905	3	0.6111	16.3542	1.9294	0.9844	1.3563	1.3059	1.5281	-0.7153	-0.4276	-0.5618	-0.7224	-0.7521	-1.0111	17.3847	17.3465	17.5153	15.8107	16.0293	15.9274	15.8053	15.7827	15.5859
G906	3	0.4968	14.4685	0.8541	0.9427	1.3542	1.1421	1.4804	-1.4859	-0.4741	-0.7879	-0.1551	-0.4462	-0.6274	14.8585	14.7974	14.8948	14.0407	14.3320	14.2417	14.4239	14.3401	14.2879
G907	3	0.4358	8.9139	1.2791	0.8523	0.9319	1.2720	1.5313	-1.3703	-0.0158	-0.2394	-0.7986	-1.2623	-0.0489	9.3247	9.4746	9.5889	8.3098	8.9069	8.8083	8.5618	8.3574	8.8923
G908	2	0.0186	7.8077	1.1464	0.5533	-0.2345	0.8674	1.1839	-1.4263	0.3206	-1.6715	0.6494	-0.6781	0.9891	7.7136	8.1560	8.2831	7.2351	7.9365	7.1366	8.0685	7.5355	8.2048
G909	2	-0.0142	6.2809	1.6079	0.0860	1.8669	0.4041	-1.9102	-0.1254	0.8345	-0.6283	-0.6606	-0.1505	0.3694	7.0757	6.4530	5.4678	6.2276	6.6362	6.0135	5.9997	6.2169	6.4382
G910	2	0.0091	6.1428	1.8780	0.1976	-0.3278	0.8432	-0.8319	-1.1847	1.6498	-0.4742	0.5425	-1.2962	1.0793	5.9338	6.6803	5.6125	5.3876	7.1945	5.8405	6.4887	5.3165	6.8309
G911	1	0.0251	10.6569	0.3592	0.5690	-0.3910	-1.7267	0.6516	1.3287	1.1862	0.2554	0.5558	-1.2168	-0.6432	10.6109	10.4539	10.7335	10.8131	10.7963	10.6869	10.7222	10.5138	10.5812
G912	0	0.5317	10.6493	1.5143	0.9421	-1.5119	-1.4038	-1.1413	0.8795	1.2217	0.4430	0.8468	0.1915	0.4745	9.8118	9.8717	10.0171	11.1365	11.3261	10.8947	11.1184	10.7554	10.9122
G913	2	-0.1050	12.6278	0.5332	0.6070	0.7114	0.3084	1.0421	-1.9369	-0.1006	0.3295	1.3817	-0.7506	-0.9850	12.7421	12.6774	12.7952	12.3166	12.6116	12.6807	12.8498	12.5072	12.4696
G914	3	0.4640	12.6542	0.3557	0.8953	1.6970	0.5917	1.2546	-1.0703	-0.4892	-0.4740	-0.4872	0.4443	-1.4668	12.8450	12.7207	12.7952	12.5339	12.5992	12.6009	12.5994	12.7041	12.4893
G915	3	0.5249	11.6688	0.9823	0.9589	1.5628	1.3088	1.0658	-1.3221	-1.0810	-0.0719	-0.4341	-0.3272	-0.7011	12.2009	12.1145	12.0317	11.2186	11.3007	11.6443	11.5210	11.5574	11.4301
G916	3	0.4456	10.0208	0.9003	0.8465	1.5545	1.1199	0.9269	-0.0138	-0.7194	0.1151	-0.5395	-1.7975	-0.6462	10.4384	10.3216	10.2698	10.0171	9.8276	10.0518	9.8759	9.5380	9.8473
G917	0	0.5986	12.9859	1.7567	0.9937	-1.8164	-1.1489	-1.1714	0.6048	0.6271	0.5730	0.7132	0.5833	1.0354	11.8671	12.2782	12.2644	13.3585	13.3723	13.3389	13.4252	13.3452	13.6237
G918	0	0.5536	11.1188	0.7672	0.9610	-1.5139	-1.2681	-1.3829	0.8231	0.4735	1.0980	0.4849	0.7403	0.5452	10.6741	10.7463	10.7125	11.3605	11.2578	11.4413	11.2612	11.3362	11.2789
G919	0	0.5290	12.2757	2.7082	0.9463	-1.5641	-1.3274	-1.2095	1.0111	1.0570	0.8295	0.4404	0.2927	0.4703	10.6597	10.9042	11.0260	13.3204	13.3678	13.1328	12.7308	12.5782	12.7616
G920	1	0.1835	9.4073	0.2491	0.7355	-0.8424	-0.8126	1.4861	1.9649	0.3116	-0.1643	-0.9751	-0.3915	-0.5768	9.3359	9.3384	9.5332	9.5738	9.4337	9.3934	9.3246	9.3741	9.3584
G921	3	0.4148	6.9973	1.6513	0.8219	0.8097	1.6054	1.3731	-0.8763	-0.1745	-1.0486	-1.0412	-0.9111	0.2636	7.5010	7.9961	7.8516	6.4521	6.8887	6.3449	6.3495	6.4305	7.1613
G922	3	0.6035	7.5661	1.1293	0.9901	1.3258	1.4309	1.4042	-0.9302	-0.7717	-0.2994	-0.6649	-0.5090	-0.9857	8.1857	8.2348	8.2223	7.1315	7.2055	7.4262	7.2554	7.3283	7.1055
G923	3	0.4531	11.7938	0.6153	0.9199	1.5603	1.1625	1.0795	-1.7956	-0.4977	-0.3117	-0.4292	-0.3706	-0.3976	12.0799	12.0070	11.9918	11.4646	11.7026	11.7367	11.7151	11.7259	11.7209
G924	1	-0.1472	13.7355	0.7479	0.6769	-0.7395	-1.4549	-0.4867	2.0570	1.0547	0.3084	-0.7403	-0.2368	0.2380	13.5780	13.4257	13.6319	14.1736	13.9602	13.8012	13.5779	13.6851	13.7862
G925	3	0.4858	12.0348	0.7418	0.9221	1.3129	0.6901	1.8908	-1.0542	-0.7709	-0.8257	0.0469	-0.6029	-0.6869	12.3655	12.2086	12.5110	11.7693	11.8406	11.8268	12.0466	11.8829	11.8618
G926	0	0.4250	11.6338	0.5896	0.8476	-1.7577	-1.3015	-0.4457	1.5666	0.5741	0.0882	0.7819	-0.2495	0.7435	11.3221	11.4030	11.5548	11.9116	11.7356	11.6495	11.7725	11.5896	11.7657
G927	0	0.2516	11.0509	0.5277	0.6766	-0.8629	-0.9389	-1.0958	2.4347	-0.0343	0.1701	0.2427	-0.2344	0.3188	10.9220	10.9106	10.8872	11.4149	11.0458	11.0764	11.0872	11.0159	11.0986
G928	0	0.2724	10.4055	0.6355	0.7053	-1.6528	-0.1414	-1.1064	0.8250	1.2726	1.0598	-0.6396	-0.5565	0.9391	10.0465	10.3748	10.1652	10.5848	10.6820	10.6358	10.2666	10.2847	10.6096
G929	3	0.5439	8.1745	1.1186	0.9586	1.1424	1.4340	1.5548	-0.9990	-0.7772	-0.7905	-0.7625	-0.1873	-0.6148	8.6748	8.8026	8.8555	7.7369	7.8340	7.8282	7.8405	8.0924	7.9052
G930	3	0.3251	9.8144	0.5726	0.7988	0.7050	1.3246	1.4147	-1.3848	-1.0126	-0.3652	0.6413	-1.0997	-0.2234	9.9586	10.0853	10.1038	9.5311	9.6073	9.7397	9.9456	9.5895	9.7687
